"ID","Title","Created By","Created On","Estimate","Expected Result","Forecast","Module","Owner","Preconditions","Priority","References","Release","Section","Section Description","Steps","Steps","Steps (Additional Info)","Steps (Expected Result)","Steps (References)","Steps (Shared step ID)","Steps (Step)","Suite","Suite ID","TC Status","Type","Updated By","Updated On"
"C12042871","Verify that the Repositories that the user have access to are only displayed in the Repository drop down while doing Checkout GitHub Repository  (GitHub)","Dinesh Babu","8/22/2022 8:45 PM","","1. Repositories that the user have access to should only be displayed.","","GitHub","Dinesh Babu","User connected to GitHub","High","STU-884","4.30.1.0","STU-884 [Github] [CDPQ 4] List of repos shows repos I don't have access to","","1. Navigate to Manager page
2. Select the project from the Project spaces
3. Click on the dropdown and select Create a project
4. Click on the dropdown on the created project
5. Click on Checkout GitHub Repository
6. Click on the Repositories dropdown","","","","","","","Master","S1"," Manual","UI","Anumeha Singh","11/16/2022 2:29 AM"
"C12042872","Verify that the Repositories that the user have access to are only displayed in the Repository drop down while doing Checkout GitHub Repository  (GHES)","Dinesh Babu","8/22/2022 8:45 PM","","1. Repositories that the user have access to should only be displayed.","","GitHub","Dinesh Babu","User connected to GHES","High","STU-884","4.30.1.0","STU-884 [Github] [CDPQ 4] List of repos shows repos I don't have access to","","1. Navigate to Manager page
2. Select the project from the Project spaces
3. Click on the dropdown and select Create a project
4. Click on the dropdown on the created project
5. Click on Checkout GitHub Repository
6. Click on the Repositories dropdown","","","","","","","Master","S1"," Manual","UI","Anumeha Singh","11/16/2022 2:29 AM"
"C12042873","Verify that user is able to successfully checkout the Repositories to which they have access to (GitHub)","Dinesh Babu","8/22/2022 8:45 PM","","1. Repository should be successfully checked out.","","GitHub","Dinesh Babu","User connected to GIT","High","STU-884","4.30.1.0","STU-884 [Github] [CDPQ 4] List of repos shows repos I don't have access to","","1. Navigate to Manager page
2. Select the project from the Project spaces
3. Click on the dropdown and select Create a project
4. Click on the dropdown on the created project
5. Click on Checkout GitHub Repository
6. Click on the Repositories dropdown and select an option
7. Click on the branch dropdown and select a branch
8. Click checkout button","","","","","","","Master","S1"," Manual","UI","Anumeha Singh","11/16/2022 2:29 AM"
"C12042874","Verify that user is able to successfully checkout the Repositories to which they have access to (GHES)","Dinesh Babu","8/22/2022 8:45 PM","","1. Repository should be successfully checked out.","","GitHub","Dinesh Babu","User connected to GHES","High","STU-884","4.30.1.0","STU-884 [Github] [CDPQ 4] List of repos shows repos I don't have access to","","1. Navigate to Manager page
2. Select the project from the Project spaces
3. Click on the dropdown and select Create a project
4. Click on the dropdown on the created project
5. Click on Checkout GitHub Repository
6. Click on the Repositories dropdown and select an option
7. Click on the branch dropdown and select a branch
8. Click checkout button","","","","","","","Master","S1"," Manual","UI","Anumeha Singh","11/16/2022 2:29 AM"
"C12042978","Verify that the repositories the user does not have access to are logged on datadog","Dinesh Babu","8/23/2022 10:15 AM","","The Repos that the user does not have access to should be displayed.","","GitHub","Dinesh Babu","User connected to GitHub/GHES","High","STU-884","4.30.1.0","STU-884 [Github] [CDPQ 4] List of repos shows repos I don't have access to","","1. Navigate to Manager page
2. Click on the dropdown next to the project
3. Click on the Checkout GitHub Repository option
4. Click on the Repositories dropdown in Checkout GitHub Repository pop up
5. Navigate to DataDog
6. Click on Logs
7. Search for “does not have access to repo”
8. Select Past 15 Minutes on top of the page","","","","","","","Master","S1"," Manual","UI","Anumeha Singh","11/16/2022 2:29 AM"
"C12045623","GHES: Verify the login to github button on the user profile page","Dinesh Babu","9/28/2022 7:49 AM","","Verify the Authenticate to github button is displayed and is enabled","","GitHub","Dinesh Babu","User is not logged in to GHES","Medium","STU-20","4.3","STU-20: [CI/CD] GitHub Enterprise Server","","Login to snaplogic
open user profile pop up","","","","","","","Master","S1"," In Progress","UI","Pavan V","8/25/2023 9:38 AM"
"C12045624","GHES: Verify the login flow to github","Dinesh Babu","9/28/2022 7:49 AM","","1. Verify that the user navigates to git hub login page in a new tab
2. Verify that the tab closes and the user navigates back to the user profile page and the following details show on the profile pop up:
 Github user details
 Github login time details
3. The Authenticate to github button doesnot show","","GitHub","Dinesh Babu","User is not logged in to GHES","Medium","STU-20","4.3","STU-20: [CI/CD] GitHub Enterprise Server","","Login to snaplogic
open user profile pop up
click on the Authenticate to Git hub button
Verify 1
login with valid git hub credentials
click on authorize button on the git authorize app screen
Verify 2","","","","","","","Master","S1"," In Progress","UI","Pavan V","8/25/2023 9:38 AM"
"C12045625","GHES: Verify a user canot see git hub related option when not logged in to git hub","Dinesh Babu","9/28/2022 7:49 AM","","Verify that the user cannot see options related to git hub","","GitHub","Dinesh Babu","User is not logged in to GHES","Medium","STU-20","4.3","STU-20: [CI/CD] GitHub Enterprise Server","","open the project context menu for a project to which the user has full access permission","","","","","","","Master","S1"," In Progress","UI","Pavan V","8/25/2023 9:38 AM"
"C12045626","GHES: Verify that a user with read only access on a project cannot see git hub options in the project context menu","Dinesh Babu","9/28/2022 7:49 AM","","Verify that the user cannot see options related to git hub","","GitHub","Dinesh Babu","User is logged in to GHES","Medium","STU-20","4.3","STU-20: [CI/CD] GitHub Enterprise Server","","open the project context menu for a project to which the user has a read only permission","","","","","","","Master","S1"," In Progress","UI","Pavan V","8/25/2023 9:38 AM"
"C12045627","GHES: Verify that a user with read and execute access on a project cannot see git hub options in the project context menu","Dinesh Babu","9/28/2022 7:49 AM","","Verify that the user cannot see options related to git hub","","GitHub","Dinesh Babu","User is logged in to GHES","Medium","STU-20","4.3","STU-20: [CI/CD] GitHub Enterprise Server","","open the project context menu for a project to which the user has a read and execute permission","","","","","","","Master","S1"," In Progress","UI","Pavan V","8/25/2023 9:38 AM"
"C12045628","GHES: Verify that a org admin can see git hub options in the project context menu as enbled when he logs in to github","Dinesh Babu","9/28/2022 7:49 AM","","Verify that the user can see the following options as enabled:
1.. Checkout Github repository
2. Commit to Github
3. Github Pull","","GitHub","Dinesh Babu","Org admin user is logged in to GHES","Medium","STU-20","4.3","STU-20: [CI/CD] GitHub Enterprise Server","","open the project context menu of any project","","","","","","","Master","S1"," In Progress","UI","Pavan V","8/25/2023 9:38 AM"
"C12045629","GHES: Verify that a user can see git hub options in the project context menu for a project with R&W acccess, as enbled when he logs in to github","Dinesh Babu","9/28/2022 7:49 AM","","Verify that the user can see the following options as enabled:
1.. Checkout Github repository
2. Commit to Github
3. Github Pull","","GitHub","Dinesh Babu","User is logged in to GHES","Medium","STU-20","4.3","STU-20: [CI/CD] GitHub Enterprise Server","","open the project context menu of a project for which the user has R&W access","","","","","","","Master","S1"," In Progress","UI","Pavan V","8/25/2023 9:38 AM"
